,circular_compactness,isoperimetric_quotient,isoareal_quotient,radii_ratio,diameter_ratio
0,0.14952301979064941,0.014563322067260742,0.014170169830322266,0.1430659294128418,0.05970478057861328
1,0.147810697555542,0.014410734176635742,0.012987375259399414,0.1417536735534668,0.058733463287353516
2,0.1475543975830078,0.014472484588623047,0.013054132461547852,0.14168882369995117,0.05876755714416504
3,0.1490154266357422,0.015213489532470703,0.013063430786132812,0.14012432098388672,0.05889630317687988
4,0.1475062370300293,0.014498472213745117,0.013036727905273438,0.1404261589050293,0.05871129035949707
5,0.14814496040344238,0.014831304550170898,0.013461589813232422,0.14037609100341797,0.059172868728637695
6,0.14840030670166016,0.014752626419067383,0.01300501823425293,0.14049792289733887,0.05873823165893555
7,0.1484053134918213,0.014880657196044922,0.013253450393676758,0.14311957359313965,0.058992862701416016
8,0.1474611759185791,0.014443397521972656,0.014106988906860352,0.14165973663330078,0.05967211723327637
9,0.14775657653808594,0.014307260513305664,0.012994527816772461,0.14112472534179688,0.058669090270996094
10,0.14773964881896973,0.014379739761352539,0.013143777847290039,0.14215373992919922,0.05893445014953613
11,0.14926671981811523,0.015203714370727539,0.013225317001342773,0.1404423713684082,0.059030771255493164
12,0.14792680740356445,0.014396429061889648,0.01299905776977539,0.14005255699157715,0.05884432792663574
13,0.1471250057220459,0.014288663864135742,0.012911081314086914,0.14058971405029297,0.0590670108795166
14,0.14905643463134766,0.014706611633300781,0.01322031021118164,0.1415541172027588,0.058972835540771484
15,0.14791011810302734,0.015019893646240234,0.013634920120239258,0.14317655563354492,0.059365034103393555
16,0.1473085880279541,0.014379501342773438,0.014117717742919922,0.1396019458770752,0.059648752212524414
17,0.14710450172424316,0.014296293258666992,0.013174772262573242,0.1407933235168457,0.058902740478515625
18,0.1477069854736328,0.014443635940551758,0.013053655624389648,0.14050769805908203,0.058940887451171875
19,0.14806747436523438,0.015246391296386719,0.013571739196777344,0.14196014404296875,0.059009552001953125
20,0.14752483367919922,0.014358758926391602,0.013265132904052734,0.13971328735351562,0.059037208557128906
21,0.14760971069335938,0.014299392700195312,0.012995243072509766,0.141632080078125,0.059085845947265625
22,0.14859509468078613,0.014704465866088867,0.013131380081176758,0.13998842239379883,0.05878400802612305
23,0.14743971824645996,0.014423131942749023,0.01358485221862793,0.14208197593688965,0.05933213233947754
24,0.14766550064086914,0.014618396759033203,0.014339208602905273,0.14077520370483398,0.059769392013549805
25,0.14826416969299316,0.014631271362304688,0.01304173469543457,0.14161443710327148,0.05874896049499512
26,0.14742541313171387,0.014733314514160156,0.013560056686401367,0.14101290702819824,0.05931353569030762
27,0.1486978530883789,0.015056610107421875,0.01376962661743164,0.1407184600830078,0.05953073501586914
28,0.14759087562561035,0.014503240585327148,0.01338338851928711,0.14115238189697266,0.05914902687072754
