,circular_compactness,isoperimetric_quotient,isoareal_quotient,radii_ratio,diameter_ratio
circular_compactness,1.0,0.938473878476124,0.9034743390626064,0.9789234261512901,0.8735527045176503
isoperimetric_quotient,0.938473878476124,1.0,0.9870388469072142,0.9578239150567762,0.7650806706055109
isoareal_quotient,0.9034743390626064,0.9870388469072142,1.0,0.9522008494423565,0.7350430895042768
radii_ratio,0.9789234261512901,0.9578239150567762,0.9522008494423565,1.0,0.8578876024673934
diameter_ratio,0.8735527045176503,0.7650806706055109,0.7350430895042768,0.8578876024673934,1.0
