,circular_compactness,isoperimetric_quotient,isoareal_quotient,radii_ratio,diameter_ratio
circular_compactness,1.0,0.9519006729187677,0.9519006729187677,0.9999999999999999,0.8719335031199666
isoperimetric_quotient,0.9519006729187677,1.0,1.0,0.9519006729186499,0.7846983424720541
isoareal_quotient,0.9519006729187677,1.0,1.0,0.9519006729186499,0.7846983424720541
radii_ratio,0.9999999999999999,0.9519006729186499,0.9519006729186499,1.0,0.8719335031201007
diameter_ratio,0.8719335031199666,0.7846983424720541,0.7846983424720541,0.8719335031201007,1.0
